City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Kawalu,ID,-7.3817,108.2082,73.4,89,100,3.11,overcast clouds
272,Vestmannaeyjar,IS,63.4427,-20.2734,37.4,81,75,28.77,broken clouds
273,Bathsheba,BB,13.2167,-59.5167,84.2,58,40,20.71,scattered clouds
274,Garchitorena,PH,13.8804,123.6946,77.45,85,63,16.31,broken clouds
275,Tezu,IN,27.9167,96.1667,62.89,29,0,4.74,clear sky
276,Sao Sepe,BR,-30.1606,-53.5653,78.8,61,75,8.05,broken clouds
277,Savinka,RU,50.0785,47.0994,38.64,99,100,7.74,overcast clouds
278,Batemans Bay,AU,-35.7167,150.1833,72.0,83,37,7.0,scattered clouds
279,Prince Rupert,CA,54.3161,-130.3201,41.0,93,90,8.05,overcast clouds
280,Mareeba,AU,-17.0,145.4333,77.0,88,75,2.3,broken clouds
281,Vao,NC,-22.6667,167.4833,78.69,86,12,19.89,few clouds
282,Matara,LK,5.9485,80.5353,76.19,81,97,5.99,overcast clouds
283,Longkou,CN,37.6508,120.3286,37.11,74,100,17.25,overcast clouds
284,Mocajuba,BR,-2.5842,-49.5072,94.03,41,53,4.0,broken clouds
285,Whitianga,NZ,-36.8333,175.7,66.99,87,89,4.0,overcast clouds
286,Tanushimaru,JP,33.35,130.6833,37.0,80,0,3.44,clear sky
287,Banjar,ID,-8.19,114.9675,78.8,94,75,16.11,broken clouds
288,Karratha,AU,-20.7377,116.8463,81.07,83,69,10.31,broken clouds
289,Ilulissat,GL,69.2167,-51.1,-0.4,32,1,11.5,clear sky
290,Zyryanka,RU,65.75,150.85,-14.85,88,100,20.87,light snow
291,Souillac,MU,-20.5167,57.5167,80.6,74,20,9.22,few clouds
292,Lamar,US,33.6668,-95.5836,66.99,59,90,21.85,overcast clouds
293,Westport,US,41.1415,-73.3579,39.0,52,1,16.11,clear sky
294,Sandakan,MY,5.8402,118.1179,80.6,89,40,3.44,scattered clouds
295,Najran,SA,17.4924,44.1277,73.4,20,0,11.5,clear sky
296,Merauke,ID,-8.4667,140.3333,79.72,87,97,13.18,overcast clouds
297,Fort Dodge,US,42.4975,-94.168,21.2,86,90,11.5,light snow
298,Itaguai,BR,-22.8522,-43.7753,102.2,32,0,9.22,clear sky
299,La Primavera,CO,5.4906,-70.4092,95.02,41,21,12.55,few clouds
300,Beyneu,KZ,45.3167,55.2,46.58,62,99,7.83,overcast clouds
301,Fort Wellington,GY,6.4,-57.6,82.47,72,52,16.28,broken clouds
302,Anito,PH,12.4497,125.2886,77.99,89,40,13.6,scattered clouds
303,Sola,VU,-13.8833,167.55,79.41,84,65,8.7,broken clouds
304,Shirochanka,RU,46.6497,38.3978,45.57,90,100,17.54,overcast clouds
305,Salekhard,RU,66.53,66.6019,-12.95,90,98,2.37,overcast clouds
306,Deputatskiy,RU,69.3,139.9,-15.11,91,99,4.59,overcast clouds
307,Touros,BR,-5.1989,-35.4608,87.8,55,40,16.11,scattered clouds
308,Sao Felix Do Xingu,BR,-6.6447,-51.995,89.51,57,86,2.21,overcast clouds
309,Tuatapere,NZ,-46.1333,167.6833,44.71,89,10,3.94,clear sky
310,Guhagar,IN,17.4842,73.1929,73.09,55,9,4.83,clear sky
311,Cidreira,BR,-30.1811,-50.2056,79.92,59,61,18.37,broken clouds
312,Berdigestyakh,RU,62.0989,126.6992,-36.99,81,0,1.5,clear sky
313,Uelzen,DE,52.9667,10.5667,32.0,100,75,5.75,light intensity drizzle
314,Mopti,ML,14.6667,-4.0,95.63,9,93,5.55,overcast clouds
315,Makinsk,KZ,52.6292,70.4169,20.19,98,97,5.64,overcast clouds
316,Tucson,US,32.2217,-110.9265,66.0,36,1,4.61,clear sky
317,Caravelas,BR,-17.7125,-39.2481,86.2,54,0,10.89,clear sky
318,Cubuk,TR,40.2386,33.0322,51.01,70,20,2.3,few clouds
319,Moree,AU,-29.4667,149.85,75.2,57,91,13.8,overcast clouds
320,George,ZA,-33.963,22.4617,69.8,78,20,5.75,few clouds
321,Zhigalovo,RU,54.8097,105.1578,5.23,92,100,3.02,overcast clouds
322,Klaksvik,FO,62.2266,-6.589,33.8,69,20,17.27,light rain
323,Chaoyang,CN,41.5703,120.4586,26.49,74,2,6.64,clear sky
324,Lata,PT,40.1629,-8.3327,57.99,74,94,1.01,overcast clouds
325,Mushabani,IN,22.5167,86.45,61.72,32,0,1.77,clear sky
326,San Vicente,AR,-26.6167,-54.1333,82.49,45,56,5.64,broken clouds
327,Krivosheino,RU,57.3431,83.9261,2.68,94,86,6.64,overcast clouds
328,Tuy Hoa,VN,13.0833,109.3,70.93,90,100,8.16,overcast clouds
329,Conceicao Do Araguaia,BR,-8.2578,-49.2647,90.45,58,59,2.06,broken clouds
330,Buala,SB,-8.145,159.5921,78.73,83,100,8.84,overcast clouds
331,Ambulu,ID,-8.345,113.6058,76.91,87,96,1.43,light rain
332,Rio Grande,BR,-32.035,-52.0986,77.0,65,75,29.93,light rain
333,Nouadhibou,MR,20.931,-17.0347,69.8,68,20,18.41,few clouds
334,Kondinskoye,RU,59.6481,67.41,8.38,95,100,6.35,overcast clouds
335,Rockhampton,AU,-23.3833,150.5,71.6,88,8,4.61,clear sky
336,Bud,US,39.447,-86.1758,35.01,75,95,14.97,overcast clouds
337,Fortuna,US,40.5982,-124.1573,44.01,100,20,6.91,few clouds
338,Marzuq,YE,14.4,46.4667,61.74,60,0,5.37,clear sky
339,Tashtyp,RU,52.7939,89.8983,19.35,93,100,7.81,overcast clouds
340,Ushumun,RU,52.7833,126.5333,-20.79,85,86,0.96,overcast clouds
341,Bako,ET,5.7833,36.5667,73.54,32,1,3.24,clear sky
342,Delhi,IN,28.6667,77.2167,55.4,88,20,7.65,mist
343,Nevel,RU,56.0209,29.9284,12.0,96,93,7.7,light snow
344,Kirovskiy,RU,45.0917,133.5136,-16.69,85,0,3.22,clear sky
345,Gilbues,BR,-9.8317,-45.3439,91.58,41,76,3.11,broken clouds
346,Aquiraz,BR,-3.9014,-38.3911,86.0,62,20,16.11,few clouds
347,Narsaq,GL,60.9167,-46.05,19.4,45,20,5.91,few clouds
348,Songjianghe,CN,42.1859,127.479,8.69,93,2,8.43,clear sky
349,Burnie,AU,-41.0667,145.9167,63.82,77,95,12.01,light rain
