City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
384,Coihaique,CL,86.0,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
385,Weligama,LK,76.95,overcast clouds,5.9667,80.4167,Weligama Bay Resort
386,Nabire,ID,76.95,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
387,Bairiki,KI,78.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
395,Meiganga,CM,82.31,scattered clouds,6.5167,14.3,DFR HOUSE
399,Nhulunbuy,AU,77.0,light rain,-12.2333,136.7667,East Arnhem Real Estate
405,San Patricio,US,75.99,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
406,Pauini,BR,87.17,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
409,Asosa,ET,75.42,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
410,Charagua,BO,78.8,broken clouds,-19.8,-63.2167,Residencial Luismar
415,Impfondo,CG,82.2,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
417,Iralaya,HN,80.6,clear sky,15.0,-83.2333,Iglesia morava renovada
419,Puerto Ayacucho,VE,89.85,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
423,Hualmay,PE,76.26,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
424,Panaba,MX,77.65,few clouds,21.2833,-88.2667,Posada rosario
427,Sao Miguel,BR,87.8,scattered clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
435,Porto Novo,BJ,87.8,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
438,Altamira,BR,89.6,broken clouds,-3.2033,-52.2064,Requinte Hotel
441,Gweta,BW,80.69,scattered clouds,-20.1833,25.2333,Gweta Lodge
443,Mapiripan,CO,88.68,overcast clouds,2.8892,-72.1256,Monserrate
451,Montalvo,EC,82.0,light rain,-1.8,-79.3333,Motel Los Laureles
452,Cap Malheureux,MU,80.01,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
464,Kirakira,SB,77.97,moderate rain,-10.4544,161.9205,SanBiz Lodge
470,Campo Gobierno,MX,75.2,clear sky,24.6536,-107.5411,Casa de la Abuela
476,Mount Isa,AU,84.2,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
479,San Carlos De Bariloche,AR,87.8,clear sky,-41.1456,-71.3082,Hotel Patagonia
481,Minas,UY,75.2,broken clouds,-34.3759,-55.2377,Hotel Minas
484,Richards Bay,ZA,77.65,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
486,San Policarpo,PH,79.77,clear sky,12.1791,125.5072,JM Lodge
487,Tamboril,DO,78.8,broken clouds,19.4854,-70.611,Camp David Ranch Restaurant
490,Kaduqli,SD,83.57,broken clouds,11.0167,29.7167,فندق الله جابو
491,Bluefields,NI,80.6,few clouds,12.0137,-83.7635,Flamingo Hotel and Casino
492,Itatiaia,BR,87.67,scattered clouds,-22.4961,-44.5633,La Ponsa
494,Cabedelo,BR,89.6,few clouds,-6.9811,-34.8339,Hotel Pigalle
497,Kudahuvadhoo,MV,82.13,light rain,2.6708,72.8944,Niyama Private Islands Maldives
502,Ibiapina,BR,84.22,broken clouds,-3.9233,-40.8894,Hotel Pinheiro
505,Isangel,VU,77.94,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
510,Tambura,SS,89.8,scattered clouds,5.6,27.4667,Rikito Lodge
512,Maragogi,BR,83.91,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
513,Sokoni,TZ,82.4,few clouds,-6.4333,39.55,Ujamaa Beach Resort
520,Salalah,OM,75.2,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
524,Hinche,HT,80.31,few clouds,19.15,-72.0167,«Petites Soeurs de l'Incarnation»
529,Diffa,NE,77.85,clear sky,13.3154,12.6113,ProDAF/Diffa
530,Sassandra,CI,82.72,few clouds,4.95,-6.0833,la terrasse
533,Kavaratti,IN,81.99,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
537,Dhidhdhoo,MV,82.0,broken clouds,6.8833,73.1,Dhidhoo beach
549,Jardim,BR,84.34,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
552,Siocon,PH,77.61,few clouds,7.7061,122.1353,ABS Hotel
556,Anloga,GH,86.0,few clouds,5.7947,0.8973,Pin Drop Hotel
559,Porto Walter,BR,89.44,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
562,Soyo,AO,82.31,broken clouds,-6.1349,12.3689,Hotel Mpampa
569,Vung Tau,VN,75.63,clear sky,10.345999999999998,107.0843,Seaside Resort
574,Ikorodu,NG,87.8,few clouds,6.6191,3.5041,Royal Kaft Hotel & Suites
